"","Index_No","Mid_34","Mid_20","Final_80","Marks_1","Marks_2","Grand_Final","Lec_1","Lec_2","Lec_3","Lec_4","Lec_5","Lec_6","Lec_7","Total_Attendance"
"317","A317",22,12.94117647,70,82.94117647,87.5,88,1,1,0,1,1,0,0,4
"318","A318",32,18.82352941,69,87.82352941,86.25,88,1,1,1,1,1,1,1,7
"319","A319",22,12.94117647,70,82.94117647,87.5,88,1,1,1,1,1,0,1,6
"320","A320",26,15.29411765,71,86.29411765,88.75,89,1,1,1,1,1,0,0,5
"321","A321",25,14.70588235,71,85.70588235,88.75,89,1,1,1,0,0,0,0,3
"322","A322",27,15.88235294,72,87.88235294,90,90,1,1,1,0,0,0,0,3
"323","A323",28,16.47058824,73,89.47058824,91.25,91,1,1,0,0,0,0,1,3
"324","A324",23,13.52941176,74,87.52941176,92.5,93,0,1,1,0,0,0,0,2
"325","A325",25,14.70588235,75,89.70588235,93.75,94,1,1,1,1,0,0,0,4
"326","A326",28,16.47058824,75,91.47058824,93.75,94,1,1,1,1,1,1,1,7
"327","A327",29,17.05882353,75,92.05882353,93.75,94,1,1,1,1,1,0,1,6
"328","A328",25,14.70588235,76,90.70588235,95,95,1,1,1,1,1,0,1,6
"329","A329",25,14.70588235,77,91.70588235,96.25,96,1,1,1,1,1,0,1,6
"330","A330",26,15.29411765,78,93.29411765,97.5,98,1,1,1,1,1,1,1,7
"331","A331",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"332","A332",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"333","A333",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"334","A334",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"335","A335",12,7.058823529,0,0,0,0,1,1,1,0,0,0,0,3
