"","Index_No","Mid_34","Mid_20","Final_80","Marks_1","Marks_2","Grand_Final","Lec_1","Lec_2","Lec_3","Lec_4","Lec_5","Lec_6","Lec_7","Total_Attendance"
"73","A73",23,13.52941176,24,37.52941176,30,38,1,1,1,1,1,0,1,6
"74","A74",8,4.705882353,31,35.70588235,38.75,39,1,0,0,1,1,0,0,3
"75","A75",26,15.29411765,24,39.29411765,30,39,1,0,0,1,1,1,0,4
"76","A76",25,14.70588235,24,38.70588235,30,39,1,1,1,1,1,0,0,5
"77","A77",12,7.058823529,31,38.05882353,38.75,39,1,1,0,1,0,0,0,3
"78","A78",25,14.70588235,24,38.70588235,30,39,1,1,1,0,0,0,0,3
"79","A79",11,6.470588235,32,38.47058824,40,40,1,0,1,1,0,0,0,3
"80","A80",5,2.941176471,32,34.94117647,40,40,0,0,0,1,0,0,0,1
"81","A81",14,8.235294118,32,40.23529412,40,40,1,1,1,1,0,0,0,4
"82","A82",18,10.58823529,29,39.58823529,36.25,40,1,1,1,0,0,0,0,3
"83","A83",18,10.58823529,30,40.58823529,37.5,41,1,1,0,1,1,1,0,5
"84","A84",21,12.35294118,29,41.35294118,36.25,41,0,0,0,0,0,0,0,0
"85","A85",20,11.76470588,29,40.76470588,36.25,41,1,0,0,0,0,0,0,1
"86","A86",11,6.470588235,33,39.47058824,41.25,41,1,0,0,0,1,0,1,3
"87","A87",25,14.70588235,27,41.70588235,33.75,42,1,1,1,1,1,0,0,5
"88","A88",20,11.76470588,30,41.76470588,37.5,42,1,1,1,1,1,0,0,5
"89","A89",19,11.17647059,31,42.17647059,38.75,42,1,0,1,1,1,0,0,4
"90","A90",21,12.35294118,31,43.35294118,38.75,43,1,0,0,1,1,0,0,3
"91","A91",21,12.35294118,31,43.35294118,38.75,43,1,1,0,1,0,0,0,3
"92","A92",16,9.411764706,34,43.41176471,42.5,43,1,0,1,1,0,0,0,3
"93","A93",28,16.47058824,27,43.47058824,33.75,43,1,1,1,1,1,0,0,5
"94","A94",14,8.235294118,34,42.23529412,42.5,43,1,0,0,0,0,0,0,1
"95","A95",7,4.117647059,34,38.11764706,42.5,43,1,0,0,0,0,0,0,1
"96","A100",20,11.76470588,32,43.76470588,40,44,1,0,0,0,0,0,0,1
"97","A101",18,10.58823529,33,43.58823529,41.25,44,1,0,0,0,0,0,0,1
"98","A102",17,10,34,44,42.5,44,1,0,0,0,0,0,0,1
"99","A96",25,14.70588235,29,43.70588235,36.25,44,1,0,0,0,0,0,0,1
"100","A97",12,7.058823529,35,42.05882353,43.75,44,0,0,0,1,0,0,0,1
"101","A98",20,11.76470588,32,43.76470588,40,44,1,0,0,0,1,0,0,2
"102","A99",17,10,34,44,42.5,44,1,1,0,0,0,1,0,3
"103","A103",25,14.70588235,30,44.70588235,37.5,45,1,0,0,1,1,1,0,4
"104","A104",8,4.705882353,36,40.70588235,45,45,0,0,1,1,0,0,0,2
"105","A105",17,10,35,45,43.75,45,1,0,1,1,0,1,1,5
"106","A106",19,11.17647059,35,46.17647059,43.75,46,1,1,1,1,1,0,1,6
"107","A107",14,8.235294118,37,45.23529412,46.25,46,0,0,0,0,0,0,0,0
"108","A108",18,10.58823529,35,45.58823529,43.75,46,1,1,1,0,0,0,0,3
"109","A109",16,9.411764706,37,46.41176471,46.25,46,1,0,1,1,0,0,0,3
"110","A110",22,12.94117647,33,45.94117647,41.25,46,1,1,0,1,1,0,0,4
"111","A111",20,11.76470588,34,45.76470588,42.5,46,1,0,0,0,0,0,0,1
"112","A112",21,12.35294118,35,47.35294118,43.75,47,1,1,1,1,1,0,0,5
"113","A113",21,12.35294118,35,47.35294118,43.75,47,1,0,0,0,0,0,0,1
"114","A114",22,12.94117647,34,46.94117647,42.5,47,1,0,0,1,0,0,0,2
"115","A115",24,14.11764706,33,47.11764706,41.25,47,1,0,0,0,0,0,0,1
"116","A116",18,10.58823529,37,47.58823529,46.25,48,1,1,1,1,0,0,0,4
"117","A117",29,17.05882353,31,48.05882353,38.75,48,1,1,1,0,0,0,0,3
"118","A118",12,7.058823529,38,45.05882353,47.5,48,1,1,0,0,0,0,0,2
"119","A119",14,8.235294118,38,46.23529412,47.5,48,1,0,0,0,0,0,0,1
"120","A120",25,14.70588235,34,48.70588235,42.5,49,1,1,1,1,1,1,1,7
"121","A121",17,10,39,49,48.75,49,1,1,0,0,1,0,0,3
"122","A122",11,6.470588235,39,45.47058824,48.75,49,0,1,0,0,0,0,0,1
"123","A123",12,7.058823529,39,46.05882353,48.75,49,1,1,1,1,0,0,0,4
"124","A124",22,12.94117647,36,48.94117647,45,49,1,1,1,0,0,0,0,3
"125","A125",13,7.647058824,39,46.64705882,48.75,49,1,1,1,0,1,0,0,4
"126","A126",22,12.94117647,36,48.94117647,45,49,1,1,1,1,0,0,0,4
"127","A127",21,12.35294118,37,49.35294118,46.25,49,1,1,1,0,0,0,0,3
"128","A128",19,11.17647059,39,50.17647059,48.75,50,1,1,1,1,1,0,0,5
"129","A129",12,7.058823529,40,47.05882353,50,50,1,0,0,1,1,0,0,3
"130","A130",16,9.411764706,40,49.41176471,50,50,0,1,1,1,0,0,0,3
"131","A131",23,13.52941176,36,49.52941176,45,50,1,0,0,0,1,0,1,3
"132","A132",16,9.411764706,40,49.41176471,50,50,0,1,1,1,0,0,0,3
"133","A133",20,11.76470588,38,49.76470588,47.5,50,1,0,0,0,0,0,0,1
"134","A134",20,11.76470588,39,50.76470588,48.75,51,1,1,0,1,0,1,0,4
"135","A135",25,14.70588235,36,50.70588235,45,51,0,0,1,0,1,0,0,2
"136","A136",18,10.58823529,40,50.58823529,50,51,1,1,0,1,0,0,0,3
"137","A137",28,16.47058824,36,52.47058824,45,52,1,1,1,0,0,0,0,3
"138","A138",34,20,32,52,40,52,1,1,1,1,1,0,0,5
"139","A139",26,15.29411765,37,52.29411765,46.25,52,1,1,0,0,0,1,1,4
"140","A140",22,12.94117647,39,51.94117647,48.75,52,1,1,1,1,1,0,1,6
"141","A141",29,17.05882353,36,53.05882353,45,53,1,1,1,1,1,1,0,6
"142","A142",19,11.17647059,42,53.17647059,52.5,53,1,1,0,1,1,1,1,6
"143","A143",22,12.94117647,40,52.94117647,50,53,0,1,1,1,1,0,0,4
"144","A144",18,10.58823529,42,52.58823529,52.5,53,1,1,1,1,0,0,0,4
"145","A145",20,11.76470588,41,52.76470588,51.25,53,1,1,1,1,1,1,0,6
"146","A146",15,8.823529412,42,50.82352941,52.5,53,1,1,0,1,0,0,0,3
"147","A147",0,0,42,42,52.5,53,1,0,0,0,0,0,0,1
"148","A148",0,0,43,43,53.75,54,0,0,0,0,0,0,0,0
"149","A149",16,9.411764706,43,52.41176471,53.75,54,0,0,1,0,1,0,0,2
"150","A150",19,11.17647059,44,55.17647059,55,55,0,0,0,0,1,0,0,1
"151","A151",19,11.17647059,44,55.17647059,55,55,1,1,1,1,1,0,0,5
"152","A152",10,5.882352941,44,49.88235294,55,55,0,0,1,1,1,0,0,3
"153","A153",32,18.82352941,36,54.82352941,45,55,1,0,0,0,0,0,0,1
"154","A154",9,5.294117647,44,49.29411765,55,55,1,0,1,1,0,0,0,3
"155","A155",24,14.11764706,42,56.11764706,52.5,56,0,0,1,0,0,0,0,1
"156","A156",28,16.47058824,40,56.47058824,50,56,1,0,1,1,0,0,0,3
"157","A157",13,7.647058824,45,52.64705882,56.25,56,1,1,1,0,1,0,0,4
"158","A158",25,14.70588235,41,55.70588235,51.25,56,1,1,1,1,1,0,0,5
"159","A159",31,18.23529412,39,57.23529412,48.75,57,1,0,1,0,0,0,0,2
"160","A160",13,7.647058824,46,53.64705882,57.5,58,1,1,1,1,1,0,0,5
"161","A161",25,14.70588235,43,57.70588235,53.75,58,0,0,0,1,0,0,0,1
"162","A162",25,14.70588235,43,57.70588235,53.75,58,1,0,1,0,1,0,0,3
"163","A163",23,13.52941176,44,57.52941176,55,58,1,1,0,1,0,0,1,4
"164","A164",26,15.29411765,43,58.29411765,53.75,58,0,1,0,0,0,0,0,1
"165","A165",26,15.29411765,43,58.29411765,53.75,58,1,1,1,1,0,1,1,6
"166","A166",9,5.294117647,46,51.29411765,57.5,58,1,0,0,0,0,0,0,1
"167","A167",28,16.47058824,42,58.47058824,52.5,58,1,0,1,0,0,0,0,2
"168","A168",22,12.94117647,46,58.94117647,57.5,59,1,1,0,1,1,1,0,5
"169","A169",27,15.88235294,43,58.88235294,53.75,59,1,1,1,1,1,1,0,6
"170","A170",22,12.94117647,46,58.94117647,57.5,59,1,0,0,1,0,0,1,3
"171","A171",14,8.235294118,47,55.23529412,58.75,59,0,0,0,1,0,0,0,1
"172","A172",22,12.94117647,46,58.94117647,57.5,59,1,0,0,0,1,0,0,2
"173","A173",28,16.47058824,43,59.47058824,53.75,59,1,0,1,0,1,0,0,3
"174","A174",22,12.94117647,46,58.94117647,57.5,59,1,0,1,1,0,0,0,3
"175","A175",11,6.470588235,47,53.47058824,58.75,59,1,0,0,0,0,0,0,1
"176","A176",23,13.52941176,45,58.52941176,56.25,59,1,1,1,1,0,0,1,5
"177","A177",29,17.05882353,43,60.05882353,53.75,60,1,1,0,1,1,0,0,4
"178","A178",28,16.47058824,44,60.47058824,55,60,1,1,1,1,1,0,0,5
"179","A179",34,20,40,60,50,60,1,1,1,1,1,0,0,5
"180","A180",25,14.70588235,45,59.70588235,56.25,60,1,1,1,1,1,1,1,7
"181","A181",22,12.94117647,47,59.94117647,58.75,60,1,1,1,0,1,0,1,5
"182","A182",22,12.94117647,47,59.94117647,58.75,60,1,0,0,0,1,0,0,2
"183","A183",16,9.411764706,48,57.41176471,60,60,1,1,1,1,1,0,1,6
"184","A184",25,14.70588235,45,59.70588235,56.25,60,0,0,0,0,0,0,0,0
"185","A185",22,12.94117647,47,59.94117647,58.75,60,1,1,1,0,0,0,0,3
"186","A186",32,18.82352941,41,59.82352941,51.25,60,1,1,1,0,0,1,1,5
"187","A187",16,9.411764706,49,58.41176471,61.25,61,1,1,1,1,1,0,0,5
"188","A188",28,16.47058824,45,61.47058824,56.25,61,1,1,1,0,0,0,0,3
"189","A189",19,11.17647059,49,60.17647059,61.25,61,1,1,1,1,1,0,0,5
"190","A190",0,0,49,49,61.25,61,1,1,0,0,0,0,0,2
"191","A191",28,16.47058824,45,61.47058824,56.25,61,1,1,1,1,0,0,0,4
"192","A192",31,18.23529412,43,61.23529412,53.75,61,1,1,1,1,1,0,0,5
"193","A193",27,15.88235294,46,61.88235294,57.5,62,1,0,0,1,1,1,0,4
"194","A194",24,14.11764706,49,63.11764706,61.25,63,1,1,0,0,1,1,0,4
